record_type	repo	name_or_path	side_or_owner	head_sha	pr_number	pr_state	pr_head_sha	merge_sha	ancestor_of_develop	unique_commits_all_refs	uncommitted	classification	recovery_command	note	executed_at	exec_rc	exec_by
branch	myportfolio	chore/018-s2-board-current	local	0c48f361d497b1a732b9c3c18b5e323dc4676b21	17	MERGED	0c48f361d497b1a732b9c3c18b5e323dc4676b21	38b06d64ac2703abb6145ed30fc78153d9e39fb0	True	0		삭제안전	git branch chore/018-s2-board-current 0c48f361d497	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-d1.5-load-decl-plan	local	fcbb82736baa73acd5c51cf12c6b1ad84f6ecd86	14	MERGED	fcbb82736baa73acd5c51cf12c6b1ad84f6ecd86	3bbef62d09e8c0a3d31082467a2137a6099b019c	True	0		삭제안전	git branch chore/019-d1.5-load-decl-plan fcbb82736baa	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-delta-d1	local	b24986520fbc14c9cc2c0a2442a0f22ad8420876	13	MERGED	b24986520fbc14c9cc2c0a2442a0f22ad8420876	04f4e88ccca29fa0a79d401c2556ab1ba6ca5751	True	0		삭제안전	git branch chore/019-delta-d1 b24986520fbc	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-s7-size-limit-6kb	local	aa803d4fd80daa618c4d94d46f0646305a9664a0	16	MERGED	aa803d4fd80daa618c4d94d46f0646305a9664a0	4b43a0dc91755236b633b9caae853703965d7ac8	True	0		삭제안전	git branch chore/019-s7-size-limit-6kb aa803d4fd80d	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-t6-branch-manifest	local	3332a3708ac8fd64ea75152ddd1f20f151a087b1	18	OPEN	3332a3708ac8fd64ea75152ddd1f20f151a087b1		False	0		제외-보호(본 PR 브랜치)	git branch chore/019-t6-branch-manifest 3332a3708ac8				
branch	myportfolio	ci/019-canon-template-35ebfd3	local	f39a6b9a017b57118743b9155ffc6100f5e85ac2	15	MERGED	f39a6b9a017b57118743b9155ffc6100f5e85ac2	8b6f3df149b9a64671adeb258d75373067837aaa	True	0		삭제안전	git branch ci/019-canon-template-35ebfd3 f39a6b9a017b	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	develop	local	081da10990b7e5812ae1696bb5ad2573c029df9b	11	MERGED	f81e4a2d1c07a72c5ab3203655d27d5d85836c40	684779be6521ca96c90812fc6e42296a982a6c4e	True	0		제외-보호(main/develop/작업브랜치)	git branch develop 081da10990b7				
branch	myportfolio	main	local	55268e4546bc4aee6f3dcfcdf0bcd9973ba5e30d		NONE			True	0		제외-보호(main/develop/작업브랜치)	git branch main 55268e4546bc				
branch	myportfolio	chore/018-s2-board-current	remote	0c48f361d497b1a732b9c3c18b5e323dc4676b21	17	MERGED	0c48f361d497b1a732b9c3c18b5e323dc4676b21	38b06d64ac2703abb6145ed30fc78153d9e39fb0	True	0		삭제안전	git push origin 0c48f361d497:refs/heads/chore/018-s2-board-current	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-d1.5-load-decl-plan	remote	fcbb82736baa73acd5c51cf12c6b1ad84f6ecd86	14	MERGED	fcbb82736baa73acd5c51cf12c6b1ad84f6ecd86	3bbef62d09e8c0a3d31082467a2137a6099b019c	True	0		삭제안전	git push origin fcbb82736baa:refs/heads/chore/019-d1.5-load-decl-plan	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-delta-d1	remote	b24986520fbc14c9cc2c0a2442a0f22ad8420876	13	MERGED	b24986520fbc14c9cc2c0a2442a0f22ad8420876	04f4e88ccca29fa0a79d401c2556ab1ba6ca5751	True	0		삭제안전	git push origin b24986520fbc:refs/heads/chore/019-delta-d1	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-s7-size-limit-6kb	remote	aa803d4fd80daa618c4d94d46f0646305a9664a0	16	MERGED	aa803d4fd80daa618c4d94d46f0646305a9664a0	4b43a0dc91755236b633b9caae853703965d7ac8	True	0		삭제안전	git push origin aa803d4fd80d:refs/heads/chore/019-s7-size-limit-6kb	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	chore/019-t6-branch-manifest	remote	3332a3708ac8fd64ea75152ddd1f20f151a087b1	18	OPEN	3332a3708ac8fd64ea75152ddd1f20f151a087b1		False	0		제외-보호(본 PR 브랜치)	git push origin 3332a3708ac8:refs/heads/chore/019-t6-branch-manifest				
branch	myportfolio	ci/019-canon-template-35ebfd3	remote	f39a6b9a017b57118743b9155ffc6100f5e85ac2	15	MERGED	f39a6b9a017b57118743b9155ffc6100f5e85ac2	8b6f3df149b9a64671adeb258d75373067837aaa	True	0		삭제안전	git push origin f39a6b9a017b:refs/heads/ci/019-canon-template-35ebfd3	bundle=C:/Users/sinel/backups/2026-08/20260818-002620-pao-t6-phase-b-branches/payload/pao-t6-phase-b.bundle	2026-08-18T00:26:20+09:00	0	dev-master
branch	myportfolio	develop	remote	38b06d64ac2703abb6145ed30fc78153d9e39fb0	11	MERGED	f81e4a2d1c07a72c5ab3203655d27d5d85836c40	684779be6521ca96c90812fc6e42296a982a6c4e	True	0		제외-보호(main/develop/작업브랜치)	git push origin 38b06d64ac27:refs/heads/develop				
branch	myportfolio	main	remote	684779be6521ca96c90812fc6e42296a982a6c4e		NONE			False	0		제외-보호(main/develop/작업브랜치)	git push origin 684779be6521:refs/heads/main				
worktree	myportfolio	C:/Users/sinel/claudeworks/myportfolio	주 체크아웃(세션 무관) / N/A	081da10990b7e5812ae1696bb5ad2573c029df9b					True		0	제외-보호(주 체크아웃)	해당 없음(회수 대상 아님)	branch=develop			
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/04fab566-fbcc-49d8-9159-5b9732490c8c/scratchpad/wt-pao	본 세션(04fab566) / ALIVE	3332a3708ac8fd64ea75152ddd1f20f151a087b1					False		0	제외-보호(본 PR 작업 worktree)	해당 없음(회수 대상 아님)	branch=chore/019-t6-branch-manifest · 본 PR 을 만든 작업 worktree — 회수 대상 아님			
