record_type	repo	name_or_path	side_or_owner	head_sha	pr_number	pr_state	pr_head_sha	merge_sha	ancestor_of_develop	unique_commits_all_refs	uncommitted	classification	recovery_command	note	executed_at	exec_rc	exec_by
branch	myportfolio	chore/019-t6-phase-b	local	1003487ddc7abf941c0f5ca4c210b16ba7eba6f3	19	MERGED	1003487ddc7abf941c0f5ca4c210b16ba7eba6f3	b17dd80eb6ae0c42bc5a04b476c24d0822b3ee0f	True	0		삭제안전	git branch chore/019-t6-phase-b 1003487ddc7a	pr 열 06:15 정정(slug .git 결함) · census r2 · 읽기전용 · 미실행	2026-08-18T06:21:06+09:00		dev-master
branch	myportfolio	chore/019-t6-phase-b	remote	1003487ddc7abf941c0f5ca4c210b16ba7eba6f3	19	MERGED	1003487ddc7abf941c0f5ca4c210b16ba7eba6f3	b17dd80eb6ae0c42bc5a04b476c24d0822b3ee0f	True	0		삭제안전	git push origin 1003487ddc7a:refs/heads/chore/019-t6-phase-b	pr 열 06:15 정정(slug .git 결함) · census r2 · 읽기전용 · 미실행	2026-08-18T06:21:06+09:00		dev-master
branch	myportfolio	chore/019-t6-branch-manifest	local	dc5801c1272b66e58692e71ebc151ed6ac4adc46	18	MERGED	dc5801c1272b66e58692e71ebc151ed6ac4adc46	ba2d2c06f97ec4125e82699644fd70c2d8e76062	True	0		삭제안전	git branch chore/019-t6-branch-manifest dc5801c1272b	pr 열 06:15 정정(slug .git 결함) · census r2 · 읽기전용 · 미실행	2026-08-18T06:21:06+09:00		dev-master
branch	myportfolio	chore/019-t6-branch-manifest	remote	dc5801c1272b66e58692e71ebc151ed6ac4adc46	18	MERGED	dc5801c1272b66e58692e71ebc151ed6ac4adc46	ba2d2c06f97ec4125e82699644fd70c2d8e76062	True	0		삭제안전	git push origin dc5801c1272b:refs/heads/chore/019-t6-branch-manifest	pr 열 06:15 정정(slug .git 결함) · census r2 · 읽기전용 · 미실행	2026-08-18T06:21:06+09:00		dev-master
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/04fab566-fbcc-49d8-9159-5b9732490c8c/scratchpad/wt-pao	session:04fab566	dc5801c1272b66e58692e71ebc151ed6ac4adc46					True	0	0	삭제안전	git worktree add "C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/04fab566-fbcc-49d8-9159-5b9732490c8c/scratchpad/wt-pao" dc5801c1272b	pr 열 06:15 정정(slug .git 결함) · ref=chore/019-t6-branch-manifest · 소유 미추정(경로상 세션 id만 기재)	2026-08-18T06:21:06+09:00		dev-master
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/d2PAO15	session:490772d7	f39a6b9a017b57118743b9155ffc6100f5e85ac2					True	0	5	보류-작업중	git worktree add "C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/d2PAO15" f39a6b9a017b	pr 열 06:15 정정(slug .git 결함) · ref=detached · 소유 미추정(경로상 세션 id만 기재)	2026-08-18T06:21:06+09:00		dev-master
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/pao14	session:490772d7	fcbb82736baa73acd5c51cf12c6b1ad84f6ecd86					True	0	5	보류-작업중	git worktree add "C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/pao14" fcbb82736baa	pr 열 06:15 정정(slug .git 결함) · ref=detached · 소유 미추정(경로상 세션 id만 기재)	2026-08-18T06:21:06+09:00		dev-master
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/pao14b	session:490772d7	04f4e88ccca29fa0a79d401c2556ab1ba6ca5751					True	0	5	보류-작업중	git worktree add "C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/pao14b" 04f4e88ccca2	pr 열 06:15 정정(slug .git 결함) · ref=detached · 소유 미추정(경로상 세션 id만 기재)	2026-08-18T06:21:06+09:00		dev-master
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/r64PAO	session:490772d7	8b6f3df149b9a64671adeb258d75373067837aaa					True	0	5	보류-작업중	git worktree add "C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/490772d7-7edd-47e7-a5dd-9f2ecf4843df/scratchpad/r64PAO" 8b6f3df149b9	pr 열 06:15 정정(slug .git 결함) · ref=detached · 소유 미추정(경로상 세션 id만 기재)	2026-08-18T06:21:06+09:00		dev-master
worktree	myportfolio	C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/acb4dec3-dc8e-45d0-822c-4325e0688a60/scratchpad/m-pao	session:acb4dec3	38b06d64ac2703abb6145ed30fc78153d9e39fb0					True	0	5	보류-작업중	git worktree add "C:/Users/sinel/AppData/Local/Temp/claude/C--Users-sinel-repos-claude-infra/acb4dec3-dc8e-45d0-822c-4325e0688a60/scratchpad/m-pao" 38b06d64ac27	pr 열 06:15 정정(slug .git 결함) · ref=detached · 소유 미추정(경로상 세션 id만 기재)	2026-08-18T06:21:06+09:00		dev-master
